model,term,estimate,std_error,conf_low,conf_high,p_value,N
OLS_HC1,pf,-.3067484279176132,.10927943,-.5209322,-.09256468,.0080217002,40
OLS_HC1,y,.8508982383352566,.14518881,.56633341,1.1354631,1.0670648e-06,40
OLS_HC1,pb,.0020137435920516,.066378459,-.12808564,.13211313,.97596562,40
OLS_HC1,_cons,-4.678204963745086,1.1829525,-6.9967494,-2.3596606,.00034404083,40
